CaseId,WEIGHT1,Q1A,Q1B,Q1C,Q1D,Q1E,Q1F,Q1G,Q1H,Q1I,Q1J,Q1K,Q1L,Q1M,Q1N,Q1O,Q1P,Q1Q,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q2J,Q2K,Q2L,Q2M,Q2N,Q2O,Q2P,Q2Q,Q2R,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q3G,Q3H,Q3I,Q3J,Q3K,Q3L,Q3M,Q3N,Q3O,Q3P,Q3Q,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q4I,Q4J,Q4K,Q4L,Q4M,Q4N,Q4O,Q4P,Q4Q,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q7J,Q7K,Q7L,Q7M,Q7N,Q7O,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q10,Q11,Q12,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13H,Q13I,Q14A,Q14B,Q14C,Q14D,Q14E,Q14F,Q14G,Q14H,Q14I,Q14J,Q14K,Q14L,Q14M,Q14N,Q14O,Q14P,D3,D4,D5,Q22,Q23,SURV_MODE,Device,gender,age,AGE4,AGE7,racethnicity,educ,EDUC4,marital,employ,income
106,0.424403859,4,5,2,4,4,2,5,5,2,5,1,2,4,4,2,2,2,5,5,2,2,3,2,2,3,2,5,3,2,3,2,2,2,2,1,5,5,2,2,3,2,2,4,2,5,1,1,4,3,2,2,2,1,3,1,4,3,3,1,1,3,1,2,1,1,3,2,1,1,4,5,5,5,4,4,4,4,4,2,2,2,2,4,3,4,4,4,1,2,2,6,8,10,4,4,2,4,2,2,2,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,3,1,3,,5,2,2,Smartphone,1,51,3,4,1,10,3,3,1,14
108,0.814862704,5,5,3,3,4,2,4,4,2,5,2,2,4,5,3,1,1,5,2,2,2,3,3,3,4,1,5,4,4,4,4,3,3,1,1,5,5,1,1,4,1,1,4,1,4,1,4,4,5,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,2,4,3,2,5,4,5,1,1,1,4,9,9,4,2,2,3,2,5,1,1,1,4,4,1,4,4,4,4,4,4,4,4,4,3,2,2,2,3,,2,8,3,2,Desktop,1,61,4,5,1,12,4,1,5,13
110,0.314440122,5,5,5,5,5,3,3,5,3,5,3,3,4,5,4,2,1,5,5,5,5,5,2,3,5,1,5,3,4,5,5,3,1,1,1,5,5,5,5,5,3,1,5,1,5,1,1,5,5,3,1,1,4,1,1,4,4,3,5,4,1,5,1,5,1,1,2,1,1,4,4,4,4,4,4,4,5,4,1,1,4,1,3,2,5,5,5,4,1,1,0,5,10,4,4,2,5,4,4,1,1,1,1,2,2,3,5,5,4,5,3,3,2,3,4,1,4,4,1,3,,7,1,2,Smartphone,1,28,1,2,4,11,3,1,1,10
116,0.385659352,3,2,4,4,3,3,5,4,3,4,3,3,4,4,3,2,2,3,3,3,3,4,4,5,3,3,2,5,3,4,4,3,1,1,1,3,3,2,2,3,5,5,3,4,3,4,4,3,3,2,2,2,2,3,3,2,2,3,2,2,3,2,3,2,3,3,3,1,1,3,3,3,3,3,3,4,4,3,3,2,2,1,3,4,3,3,4,3,2,2,7,5,6,2,2,3,4,4,3,2,3,1,3,3,1,3,2,2,3,3,3,3,2,3,2,1,3,4,1,1,,8,1,2,Smartphone,1,21,1,1,4,11,3,5,4,12
118,2.271882461,1,1,5,5,1,5,5,1,5,1,5,5,2,3,5,1,1,3,3,5,5,3,5,5,1,5,3,5,5,3,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,5,5,2,5,2,5,1,5,5,3,2,1,1,4,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,5,5,4,3,5,5,1,1,3,1,1,1,1,1,1,1,3,3,3,4,1,1,1,1,5,5,1,2,,10,1,2,Smartphone,1,19,1,1,1,8,1,5,4,13
120,0.248494692,4,5,3,4,4,2,3,4,2,4,2,2,4,3,3,2,2,4,4,2,2,3,2,3,3,2,4,2,2,3,3,2,2,2,1,3,4,2,3,3,2,3,3,2,4,2,2,3,3,2,2,2,2,4,4,2,3,3,2,3,3,2,3,2,3,3,3,2,1,4,4,4,4,3,4,4,3,3,2,4,3,4,3,2,4,4,4,2,3,4,6,4,6,3,2,2,3,4,3,2,2,2,2,2,2,3,3,3,3,4,3,2,3,3,4,2,4,4,2,,,4,3,2,Smartphone,1,33,2,2,1,11,3,1,2,11
121,1.434927332,4,5,2,3,4,4,3,4,3,5,2,2,5,4,3,2,5,4,3,3,3,3,3,3,2,1,2,2,2,2,2,3,1,2,2,4,4,3,3,4,3,3,5,2,5,2,2,5,4,3,3,5,2,1,4,2,2,2,3,3,2,2,1,2,3,3,3,3,3,5,5,4,4,4,4,4,3,4,2,2,2,3,4,2,4,4,4,2,1,2,5,5,5,4,4,3,4,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,5,2,2,Smartphone,1,29,1,2,4,10,3,1,1,10
124,0.215117821,4,4,4,4,5,3,4,4,2,4,3,3,3,4,3,1,1,4,5,3,3,4,4,4,3,3,5,3,3,3,4,3,4,1,1,4,4,1,2,3,1,4,3,1,4,1,2,2,4,2,1,1,1,1,1,2,2,3,2,1,2,2,1,2,3,3,2,1,1,3,4,4,4,4,4,2,3,3,4,3,4,4,3,4,4,3,4,1,1,1,5,4,4,4,4,3,1,1,4,1,3,2,2,3,2,2,4,4,4,4,4,3,4,4,4,2,4,3,3,,2,4,2,2,Tablet,2,72,4,6,1,9,2,1,5,7
127,1.318233907,4,3,5,5,2,5,5,3,5,4,5,5,5,1,5,1,1,4,5,4,5,4,4,4,4,3,4,3,3,4,4,4,3,1,1,4,3,3,4,5,1,1,5,1,3,1,1,3,5,3,1,1,1,3,2,4,5,3,1,5,3,2,3,3,2,4,3,1,1,2,4,4,5,4,5,2,1,1,3,1,1,1,1,4,4,4,3,4,3,3,2,7,7,2,2,3,3,4,3,2,3,2,1,2,1,3,4,4,4,4,4,4,3,4,4,4,4,2,3,,3,9,1,2,Smartphone,1,45,3,4,1,12,4,5,1,18
129,2.867474902,3,4,4,3,3,2,3,4,3,4,3,3,3,4,3,2,1,4,5,4,3,3,2,3,4,3,4,3,3,3,4,3,5,2,1,3,3,2,3,3,1,1,4,3,4,2,4,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,4,4,4,2,3,2,4,4,4,2,2,3,4,3,1,1,3,3,7,4,4,3,2,4,2,3,2,2,2,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,,3,3,3,2,Desktop,1,70,4,6,4,10,3,1,5,9
137,0.83110126,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,1,2,1,1,3,4,1,1,1,1,1,1,5,5,4,3,3,3,3,4,3,3,4,3,5,4,5,5,5,5,4,3,3,5,5,4,4,3,5,3,4,3,5,4,4,4,3,5,5,4,4,3,5,4,4,5,4,3,3,5,3,3,2,2,1,4,4,2,3,1,3,2,4,8,7,6,2,4,4,2,4,3,5,4,5,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,,9,1,2,Smartphone,1,42,2,3,2,9,2,6,7,10
139,0.612476215,2,3,5,5,2,4,5,3,4,3,3,4,3,3,5,1,1,3,3,4,4,3,4,4,3,3,2,3,4,4,3,2,1,2,2,2,2,3,3,4,3,2,4,3,3,1,2,3,4,3,1,1,2,3,3,3,4,4,3,3,4,3,1,2,3,3,1,1,1,4,4,4,4,4,4,3,2,4,3,5,4,3,4,4,2,4,2,1,1,3,5,7,7,2,2,3,4,3,3,1,3,3,2,4,2,4,4,5,5,4,4,4,3,3,4,2,4,3,2,,,8,1,2,Desktop,1,73,4,6,1,13,4,3,5,15
142,0.065694893,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,4,2,Desktop,1,40,2,3,4,9,2,1,1,10
144,0.558112029,5,5,4,4,5,3,3,5,2,5,2,2,4,5,2,2,2,4,5,2,3,5,3,3,5,2,4,2,3,3,5,2,4,2,2,5,5,2,2,4,2,3,5,2,5,1,2,3,5,3,2,2,1,5,4,2,2,4,2,1,4,1,4,1,2,4,1,1,1,2,4,3,4,4,4,3,2,4,4,4,4,4,4,5,4,3,4,2,1,2,5,8,7,4,4,2,4,4,4,2,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,3,,3,4,3,2,Desktop,2,49,3,4,1,12,4,1,2,14
